Date,Comp,Round,Venue,Result,Squad,Opponent,Bruno_Min,Casemiro_Min,Bruno_KP,Bruno_PrgP,Bruno_SCA,Bruno_GCA,Bruno_Tkl+Int,Bruno_PrgC,Casemiro_KP,Casemiro_PrgP,Casemiro_Tkl,Casemiro_Int,Casemiro_Tkl+Int,Casemiro_PrgC,Bruno_kp_per90,Bruno_prgp_per90,Bruno_sca_per90,Bruno_gca_per90,Bruno_tklint_per90,Bruno_prgc_per90,Casemiro_kp_per90,Casemiro_prgp_per90,Casemiro_tkl_per90,Casemiro_int_per90,Casemiro_tklint_per90,Casemiro_prgc_per90,Bruno_xg_xag_per90,Bruno_prog_total_per90,Casemiro_prog_total_per90,Bruno_case_tklint_per90,Bruno_prog_share,Casemiro_prog_share
8/17/25,Premier League,Matchweek 1,Home,L 0–1,Manchester Utd,Arsenal,90,64.0,5,10,12,0,3,2,1.0,4.0,3.0,0.0,3.0,0.0,5.0,10.0,12.0,0.0,3.0,2.0,1.40625,5.625,4.21875,0.0,4.21875,0.0,0,12.0,5.625,7.21875,0.6808510638297872,0.3191489361702128
8/24/25,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Fulham,90,52.0,1,5,2,0,2,1,0.0,1.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,1.7307692307692308,3.4615384615384617,1.7307692307692308,5.1923076923076925,0.0,0,6.0,1.7307692307692308,7.1923076923076925,0.7761194029850746,0.22388059701492538
8/30/25,Premier League,Matchweek 3,Home,W 3–2,Manchester Utd,Burnley,90,71.0,6,7,11,0,3,3,0.0,4.0,1.0,1.0,2.0,0.0,6.0,7.0,11.0,0.0,3.0,3.0,0.0,5.070422535211268,1.267605633802817,1.267605633802817,2.535211267605634,0.0,0,10.0,5.070422535211268,5.535211267605634,0.6635514018691588,0.33644859813084116
9/20/25,Premier League,Matchweek 5,Home,W 2–1,Manchester Utd,Chelsea,86,44.0,1,7,4,0,2,0,1.0,4.0,0.0,0.0,0.0,0.0,1.0465116279069768,7.325581395348838,4.186046511627907,0.0,2.0930232558139537,0.0,2.0454545454545454,8.181818181818182,0.0,0.0,0.0,0.0,0,7.325581395348838,8.181818181818182,2.0930232558139537,0.47239263803680986,0.5276073619631901
10/4/25,Premier League,Matchweek 7,Home,W 2–0,Manchester Utd,Sunderland,90,84.0,3,8,6,0,2,2,0.0,7.0,3.0,0.0,3.0,0.0,3.0,8.0,6.0,0.0,2.0,2.0,0.0,7.5,3.2142857142857144,0.0,3.2142857142857144,0.0,0,10.0,7.5,5.214285714285714,0.5714285714285714,0.42857142857142855
10/19/25,Premier League,Matchweek 8,Away,W 2–1,Manchester Utd,Liverpool,84,58.0,3,3,6,2,1,0,0.0,1.0,3.0,0.0,3.0,0.0,3.2142857142857144,3.2142857142857144,6.428571428571429,2.142857142857143,1.0714285714285714,0.0,0.0,1.5517241379310345,4.655172413793103,0.0,4.655172413793103,0.0,0,3.2142857142857144,1.5517241379310345,5.726600985221674,0.6744186046511628,0.3255813953488372
10/25/25,Premier League,Matchweek 9,Home,W 4–2,Manchester Utd,Brighton,90,69.0,2,8,6,1,5,2,1.0,1.0,3.0,2.0,5.0,0.0,2.0,8.0,6.0,1.0,5.0,2.0,1.3043478260869565,1.3043478260869565,3.9130434782608696,2.608695652173913,6.521739130434783,0.0,0,10.0,1.3043478260869565,11.521739130434783,0.8846153846153846,0.11538461538461538
11/1/25,Premier League,Matchweek 10,Away,D 2–2,Manchester Utd,Nott'ham Forest,90,90.0,4,8,9,2,2,1,3.0,5.0,3.0,1.0,4.0,1.0,4.0,8.0,9.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,4.0,1.0,0,9.0,6.0,6.0,0.6,0.4
11/8/25,Premier League,Matchweek 11,Away,D 2–2,Manchester Utd,Tottenham,90,,1,4,1,1,2,3,,,,,,,1.0,4.0,1.0,1.0,2.0,3.0,,,,,,,0,7.0,,,,
